The format of each line in this txt is (video_path,annotation_path,start_frame_id,end_frame_id)
bear/bear-8/img,bear/bear-8/groundtruth.txt,1,2581
bear/bear-9/img,bear/bear-9/groundtruth.txt,1,1091
bicycle/bicycle-1/img,bicycle/bicycle-1/groundtruth.txt,1,1580
bicycle/bicycle-10/img,bicycle/bicycle-10/groundtruth.txt,1,1685
bicycle/bicycle-11/img,bicycle/bicycle-11/groundtruth.txt,1,1076
bicycle/bicycle-12/img,bicycle/bicycle-12/groundtruth.txt,1,1562
bicycle/bicycle-13/img,bicycle/bicycle-13/groundtruth.txt,1,3541
bicycle/bicycle-14/img,bicycle/bicycle-14/groundtruth.txt,1,1155
bicycle/bicycle-15/img,bicycle/bicycle-15/groundtruth.txt,1,1121
bicycle/bicycle-16/img,bicycle/bicycle-16/groundtruth.txt,1,1068
bicycle/bicycle-17/img,bicycle/bicycle-17/groundtruth.txt,1,2131
bicycle/bicycle-19/img,bicycle/bicycle-19/groundtruth.txt,1,1332
bicycle/bicycle-20/img,bicycle/bicycle-20/groundtruth.txt,1,3565
bicycle/bicycle-3/img,bicycle/bicycle-3/groundtruth.txt,1,1000
bicycle/bicycle-4/img,bicycle/bicycle-4/groundtruth.txt,1,5200
bicycle/bicycle-5/img,bicycle/bicycle-5/groundtruth.txt,1,1865
bicycle/bicycle-6/img,bicycle/bicycle-6/groundtruth.txt,1,1393
bicycle/bicycle-8/img,bicycle/bicycle-8/groundtruth.txt,1,2400
bird/bird-1/img,bird/bird-1/groundtruth.txt,1,4475
bird/bird-10/img,bird/bird-10/groundtruth.txt,1,2551
bird/bird-11/img,bird/bird-11/groundtruth.txt,1,2021
bird/bird-12/img,bird/bird-12/groundtruth.txt,1,1200
bird/bird-13/img,bird/bird-13/groundtruth.txt,1,1886
bird/bird-14/img,bird/bird-14/groundtruth.txt,1,3768
bird/bird-16/img,bird/bird-16/groundtruth.txt,1,1401
bird/bird-18/img,bird/bird-18/groundtruth.txt,1,3600
bird/bird-19/img,bird/bird-19/groundtruth.txt,1,1026
bird/bird-20/img,bird/bird-20/groundtruth.txt,1,1590
bird/bird-4/img,bird/bird-4/groundtruth.txt,1,2594
bird/bird-5/img,bird/bird-5/groundtruth.txt,1,1951
bird/bird-6/img,bird/bird-6/groundtruth.txt,1,1261
bird/bird-7/img,bird/bird-7/groundtruth.txt,1,2911
bird/bird-8/img,bird/bird-8/groundtruth.txt,1,2011
bird/bird-9/img,bird/bird-9/groundtruth.txt,1,1400
boat/boat-1/img,boat/boat-1/groundtruth.txt,1,1881
boat/boat-10/img,boat/boat-10/groundtruth.txt,1,1701
boat/boat-11/img,boat/boat-11/groundtruth.txt,1,2300
boat/boat-13/img,boat/boat-13/groundtruth.txt,1,3000
boat/boat-14/img,boat/boat-14/groundtruth.txt,1,2700
boat/boat-15/img,boat/boat-15/groundtruth.txt,1,1200
boat/boat-16/img,boat/boat-16/groundtruth.txt,1,1011
boat/boat-18/img,boat/boat-18/groundtruth.txt,1,1251
boat/boat-19/img,boat/boat-19/groundtruth.txt,1,1331
boat/boat-2/img,boat/boat-2/groundtruth.txt,1,5762
boat/boat-20/img,boat/boat-20/groundtruth.txt,1,3600
boat/boat-5/img,boat/boat-5/groundtruth.txt,1,3651
boat/boat-6/img,boat/boat-6/groundtruth.txt,1,2001
boat/boat-7/img,boat/boat-7/groundtruth.txt,1,1590
boat/boat-8/img,boat/boat-8/groundtruth.txt,1,3600
boat/boat-9/img,boat/boat-9/groundtruth.txt,1,1901
book/book-1/img,book/book-1/groundtruth.txt,1,1144
book/book-12/img,book/book-12/groundtruth.txt,1,1801
book/book-13/img,book/book-13/groundtruth.txt,1,1201
book/book-14/img,book/book-14/groundtruth.txt,1,2121
book/book-15/img,book/book-15/groundtruth.txt,1,1451
book/book-16/img,book/book-16/groundtruth.txt,1,1161
book/book-17/img,book/book-17/groundtruth.txt,1,2281
book/book-18/img,book/book-18/groundtruth.txt,1,3447
book/book-2/img,book/book-2/groundtruth.txt,1,3101
book/book-20/img,book/book-20/groundtruth.txt,1,2758
book/book-4/img,book/book-4/groundtruth.txt,1,2700
book/book-5/img,book/book-5/groundtruth.txt,1,2201
book/book-6/img,book/book-6/groundtruth.txt,1,1260
book/book-7/img,book/book-7/groundtruth.txt,1,2201
book/book-8/img,book/book-8/groundtruth.txt,1,1951
book/book-9/img,book/book-9/groundtruth.txt,1,2431
bottle/bottle-10/img,bottle/bottle-10/groundtruth.txt,1,1701
bottle/bottle-11/img,bottle/bottle-11/groundtruth.txt,1,2940
bottle/bottle-13/img,bottle/bottle-13/groundtruth.txt,1,1080
bottle/bottle-15/img,bottle/bottle-15/groundtruth.txt,1,1341
bottle/bottle-16/img,bottle/bottle-16/groundtruth.txt,1,1501
bottle/bottle-17/img,bottle/bottle-17/groundtruth.txt,1,1586
bottle/bottle-19/img,bottle/bottle-19/groundtruth.txt,1,5101
bottle/bottle-2/img,bottle/bottle-2/groundtruth.txt,1,4630
bottle/bottle-20/img,bottle/bottle-20/groundtruth.txt,1,1801
bottle/bottle-3/img,bottle/bottle-3/groundtruth.txt,1,1747
bottle/bottle-4/img,bottle/bottle-4/groundtruth.txt,1,1941
bottle/bottle-5/img,bottle/bottle-5/groundtruth.txt,1,1750
bottle/bottle-6/img,bottle/bottle-6/groundtruth.txt,1,1544
bottle/bottle-7/img,bottle/bottle-7/groundtruth.txt,1,1200
bottle/bottle-8/img,bottle/bottle-8/groundtruth.txt,1,1522
bottle/bottle-9/img,bottle/bottle-9/groundtruth.txt,1,1151
bus/bus-1/img,bus/bus-1/groundtruth.txt,1,1171
bus/bus-10/img,bus/bus-10/groundtruth.txt,1,1621
bus/bus-11/img,bus/bus-11/groundtruth.txt,1,2641
bus/bus-12/img,bus/bus-12/groundtruth.txt,1,8161
bus/bus-13/img,bus/bus-13/groundtruth.txt,1,3721
bus/bus-14/img,bus/bus-14/groundtruth.txt,1,4800
bus/bus-15/img,bus/bus-15/groundtruth.txt,1,2901
bus/bus-16/img,bus/bus-16/groundtruth.txt,1,2991
bus/bus-18/img,bus/bus-18/groundtruth.txt,1,1506
bus/bus-20/img,bus/bus-20/groundtruth.txt,1,5601
bus/bus-3/img,bus/bus-3/groundtruth.txt,1,1261
bus/bus-4/img,bus/bus-4/groundtruth.txt,1,3971
bus/bus-6/img,bus/bus-6/groundtruth.txt,1,6501
bus/bus-7/img,bus/bus-7/groundtruth.txt,1,2161
bus/bus-8/img,bus/bus-8/groundtruth.txt,1,2521
bus/bus-9/img,bus/bus-9/groundtruth.txt,1,3371
car/car-1/img,car/car-1/groundtruth.txt,1,2301
car/car-10/img,car/car-10/groundtruth.txt,1,2101
car/car-11/img,car/car-11/groundtruth.txt,1,1661
car/car-12/img,car/car-12/groundtruth.txt,1,1500
car/car-13/img,car/car-13/groundtruth.txt,1,1200
car/car-14/img,car/car-14/groundtruth.txt,1,1999
car/car-15/img,car/car-15/groundtruth.txt,1,2891
car/car-16/img,car/car-16/groundtruth.txt,1,1861
car/car-18/img,car/car-18/groundtruth.txt,1,2123
car/car-19/img,car/car-19/groundtruth.txt,1,6361
car/car-20/img,car/car-20/groundtruth.txt,1,2400
car/car-3/img,car/car-3/groundtruth.txt,1,5521
car/car-4/img,car/car-4/groundtruth.txt,1,1531
car/car-5/img,car/car-5/groundtruth.txt,1,4710
car/car-7/img,car/car-7/groundtruth.txt,1,3401
car/car-8/img,car/car-8/groundtruth.txt,1,2038
cat/cat-10/img,cat/cat-10/groundtruth.txt,1,1871
cat/cat-11/img,cat/cat-11/groundtruth.txt,1,1500
cat/cat-12/img,cat/cat-12/groundtruth.txt,1,2128
cat/cat-13/img,cat/cat-13/groundtruth.txt,1,3461
cat/cat-14/img,cat/cat-14/groundtruth.txt,1,1731
cat/cat-15/img,cat/cat-15/groundtruth.txt,1,4201
cat/cat-16/img,cat/cat-16/groundtruth.txt,1,1831
cat/cat-17/img,cat/cat-17/groundtruth.txt,1,3921
cat/cat-19/img,cat/cat-19/groundtruth.txt,1,1798
cat/cat-2/img,cat/cat-2/groundtruth.txt,1,1001
cat/cat-4/img,cat/cat-4/groundtruth.txt,1,4291
cat/cat-5/img,cat/cat-5/groundtruth.txt,1,1513
cat/cat-6/img,cat/cat-6/groundtruth.txt,1,2381
cat/cat-7/img,cat/cat-7/groundtruth.txt,1,3600
cat/cat-8/img,cat/cat-8/groundtruth.txt,1,1800
cat/cat-9/img,cat/cat-9/groundtruth.txt,1,2651
cattle/cattle-1/img,cattle/cattle-1/groundtruth.txt,1,1650
cattle/cattle-10/img,cattle/cattle-10/groundtruth.txt,1,2700
cattle/cattle-11/img,cattle/cattle-11/groundtruth.txt,1,1291
cattle/cattle-14/img,cattle/cattle-14/groundtruth.txt,1,1200
cattle/cattle-15/img,cattle/cattle-15/groundtruth.txt,1,2315
cattle/cattle-16/img,cattle/cattle-16/groundtruth.txt,1,1581
cattle/cattle-17/img,cattle/cattle-17/groundtruth.txt,1,1411
cattle/cattle-18/img,cattle/cattle-18/groundtruth.txt,1,1241
cattle/cattle-19/img,cattle/cattle-19/groundtruth.txt,1,1647
cattle/cattle-20/img,cattle/cattle-20/groundtruth.txt,1,1200
cattle/cattle-3/img,cattle/cattle-3/groundtruth.txt,1,3291
cattle/cattle-4/img,cattle/cattle-4/groundtruth.txt,1,1441
cattle/cattle-5/img,cattle/cattle-5/groundtruth.txt,1,2251
cattle/cattle-6/img,cattle/cattle-6/groundtruth.txt,1,1831
cattle/cattle-8/img,cattle/cattle-8/groundtruth.txt,1,1627
cattle/cattle-9/img,cattle/cattle-9/groundtruth.txt,1,2010
chameleon/chameleon-1/img,chameleon/chameleon-1/groundtruth.txt,1,2700
chameleon/chameleon-10/img,chameleon/chameleon-10/groundtruth.txt,1,1201
chameleon/chameleon-12/img,chameleon/chameleon-12/groundtruth.txt,1,3481
chameleon/chameleon-13/img,chameleon/chameleon-13/groundtruth.txt,1,1711
chameleon/chameleon-14/img,chameleon/chameleon-14/groundtruth.txt,1,1693
chameleon/chameleon-15/img,chameleon/chameleon-15/groundtruth.txt,1,1718
chameleon/chameleon-16/img,chameleon/chameleon-16/groundtruth.txt,1,1380
chameleon/chameleon-17/img,chameleon/chameleon-17/groundtruth.txt,1,1600
chameleon/chameleon-18/img,chameleon/chameleon-18/groundtruth.txt,1,1879
chameleon/chameleon-19/img,chameleon/chameleon-19/groundtruth.txt,1,1870
chameleon/chameleon-2/img,chameleon/chameleon-2/groundtruth.txt,1,1750
chameleon/chameleon-4/img,chameleon/chameleon-4/groundtruth.txt,1,1621
chameleon/chameleon-5/img,chameleon/chameleon-5/groundtruth.txt,1,1050
chameleon/chameleon-7/img,chameleon/chameleon-7/groundtruth.txt,1,1224
chameleon/chameleon-8/img,chameleon/chameleon-8/groundtruth.txt,1,1278
chameleon/chameleon-9/img,chameleon/chameleon-9/groundtruth.txt,1,1200
coin/coin-1/img,coin/coin-1/groundtruth.txt,1,2700
coin/coin-10/img,coin/coin-10/groundtruth.txt,1,1433
coin/coin-11/img,coin/coin-11/groundtruth.txt,1,1770
coin/coin-12/img,coin/coin-12/groundtruth.txt,1,2601
coin/coin-13/img,coin/coin-13/groundtruth.txt,1,1565
coin/coin-14/img,coin/coin-14/groundtruth.txt,1,1481
coin/coin-15/img,coin/coin-15/groundtruth.txt,1,1312
coin/coin-16/img,coin/coin-16/groundtruth.txt,1,2414
coin/coin-17/img,coin/coin-17/groundtruth.txt,1,1500
coin/coin-19/img,coin/coin-19/groundtruth.txt,1,2400
coin/coin-2/img,coin/coin-2/groundtruth.txt,1,2700
coin/coin-20/img,coin/coin-20/groundtruth.txt,1,1500
coin/coin-4/img,coin/coin-4/groundtruth.txt,1,1000
coin/coin-5/img,coin/coin-5/groundtruth.txt,1,1591
coin/coin-8/img,coin/coin-8/groundtruth.txt,1,3000
coin/coin-9/img,coin/coin-9/groundtruth.txt,1,1581
crab/crab-1/img,crab/crab-1/groundtruth.txt,1,1291
crab/crab-10/img,crab/crab-10/groundtruth.txt,1,2512
crab/crab-11/img,crab/crab-11/groundtruth.txt,1,1401
crab/crab-13/img,crab/crab-13/groundtruth.txt,1,4351
crab/crab-14/img,crab/crab-14/groundtruth.txt,1,1198
crab/crab-15/img,crab/crab-15/groundtruth.txt,1,1000
crab/crab-16/img,crab/crab-16/groundtruth.txt,1,1455
crab/crab-17/img,crab/crab-17/groundtruth.txt,1,1051
crab/crab-19/img,crab/crab-19/groundtruth.txt,1,2043
crab/crab-2/img,crab/crab-2/groundtruth.txt,1,2110
crab/crab-20/img,crab/crab-20/groundtruth.txt,1,2532
crab/crab-4/img,crab/crab-4/groundtruth.txt,1,1345
crab/crab-5/img,crab/crab-5/groundtruth.txt,1,1921
crab/crab-7/img,crab/crab-7/groundtruth.txt,1,2281
crab/crab-8/img,crab/crab-8/groundtruth.txt,1,2050
crab/crab-9/img,crab/crab-9/groundtruth.txt,1,1563
crocodile/crocodile-1/img,crocodile/crocodile-1/groundtruth.txt,1,1991
crocodile/crocodile-11/img,crocodile/crocodile-11/groundtruth.txt,1,1200
crocodile/crocodile-12/img,crocodile/crocodile-12/groundtruth.txt,1,1300
crocodile/crocodile-13/img,crocodile/crocodile-13/groundtruth.txt,1,1051
crocodile/crocodile-15/img,crocodile/crocodile-15/groundtruth.txt,1,1531
crocodile/crocodile-16/img,crocodile/crocodile-16/groundtruth.txt,1,1600
crocodile/crocodile-17/img,crocodile/crocodile-17/groundtruth.txt,1,1641
crocodile/crocodile-18/img,crocodile/crocodile-18/groundtruth.txt,1,1000
crocodile/crocodile-19/img,crocodile/crocodile-19/groundtruth.txt,1,1955
crocodile/crocodile-2/img,crocodile/crocodile-2/groundtruth.txt,1,2078
crocodile/crocodile-20/img,crocodile/crocodile-20/groundtruth.txt,1,1521
crocodile/crocodile-5/img,crocodile/crocodile-5/groundtruth.txt,1,2700
crocodile/crocodile-6/img,crocodile/crocodile-6/groundtruth.txt,1,3000
crocodile/crocodile-7/img,crocodile/crocodile-7/groundtruth.txt,1,3316
crocodile/crocodile-8/img,crocodile/crocodile-8/groundtruth.txt,1,1401
crocodile/crocodile-9/img,crocodile/crocodile-9/groundtruth.txt,1,1586
cup/cup-10/img,cup/cup-10/groundtruth.txt,1,1500
cup/cup-11/img,cup/cup-11/groundtruth.txt,1,2500
cup/cup-12/img,cup/cup-12/groundtruth.txt,1,2280
cup/cup-13/img,cup/cup-13/groundtruth.txt,1,1427
cup/cup-14/img,cup/cup-14/groundtruth.txt,1,2971
cup/cup-15/img,cup/cup-15/groundtruth.txt,1,1401
cup/cup-16/img,cup/cup-16/groundtruth.txt,1,1531
cup/cup-18/img,cup/cup-18/groundtruth.txt,1,3000
cup/cup-19/img,cup/cup-19/groundtruth.txt,1,2641
cup/cup-2/img,cup/cup-2/groundtruth.txt,1,2511
cup/cup-20/img,cup/cup-20/groundtruth.txt,1,1381
cup/cup-3/img,cup/cup-3/groundtruth.txt,1,2154
cup/cup-5/img,cup/cup-5/groundtruth.txt,1,1861
cup/cup-6/img,cup/cup-6/groundtruth.txt,1,1350
cup/cup-8/img,cup/cup-8/groundtruth.txt,1,3543
cup/cup-9/img,cup/cup-9/groundtruth.txt,1,2100
deer/deer-1/img,deer/deer-1/groundtruth.txt,1,1241
deer/deer-11/img,deer/deer-11/groundtruth.txt,1,1891
deer/deer-12/img,deer/deer-12/groundtruth.txt,1,2032
deer/deer-13/img,deer/deer-13/groundtruth.txt,1,2881
deer/deer-15/img,deer/deer-15/groundtruth.txt,1,4821
deer/deer-16/img,deer/deer-16/groundtruth.txt,1,5261
deer/deer-17/img,deer/deer-17/groundtruth.txt,1,1471
deer/deer-18/img,deer/deer-18/groundtruth.txt,1,3095
deer/deer-19/img,deer/deer-19/groundtruth.txt,1,1138
deer/deer-2/img,deer/deer-2/groundtruth.txt,1,1239
deer/deer-20/img,deer/deer-20/groundtruth.txt,1,1961
deer/deer-3/img,deer/deer-3/groundtruth.txt,1,1284
deer/deer-5/img,deer/deer-5/groundtruth.txt,1,1475
deer/deer-6/img,deer/deer-6/groundtruth.txt,1,3001
deer/deer-7/img,deer/deer-7/groundtruth.txt,1,2671
deer/deer-9/img,deer/deer-9/groundtruth.txt,1,1452
dog/dog-10/img,dog/dog-10/groundtruth.txt,1,1890
dog/dog-11/img,dog/dog-11/groundtruth.txt,1,1139
dog/dog-12/img,dog/dog-12/groundtruth.txt,1,1030
dog/dog-13/img,dog/dog-13/groundtruth.txt,1,1286
dog/dog-14/img,dog/dog-14/groundtruth.txt,1,1867
dog/dog-16/img,dog/dog-16/groundtruth.txt,1,2419
dog/dog-17/img,dog/dog-17/groundtruth.txt,1,1297
dog/dog-18/img,dog/dog-18/groundtruth.txt,1,3227
dog/dog-2/img,dog/dog-2/groundtruth.txt,1,1363
dog/dog-20/img,dog/dog-20/groundtruth.txt,1,1527
dog/dog-3/img,dog/dog-3/groundtruth.txt,1,1511
dog/dog-4/img,dog/dog-4/groundtruth.txt,1,1280
dog/dog-5/img,dog/dog-5/groundtruth.txt,1,2991
dog/dog-6/img,dog/dog-6/groundtruth.txt,1,2327
dog/dog-8/img,dog/dog-8/groundtruth.txt,1,2977
dog/dog-9/img,dog/dog-9/groundtruth.txt,1,1085
drone/drone-1/img,drone/drone-1/groundtruth.txt,1,4065
drone/drone-10/img,drone/drone-10/groundtruth.txt,1,1450
drone/drone-11/img,drone/drone-11/groundtruth.txt,1,1000
drone/drone-12/img,drone/drone-12/groundtruth.txt,1,2648
drone/drone-14/img,drone/drone-14/groundtruth.txt,1,1735
drone/drone-16/img,drone/drone-16/groundtruth.txt,1,2539
drone/drone-17/img,drone/drone-17/groundtruth.txt,1,3471
drone/drone-18/img,drone/drone-18/groundtruth.txt,1,4596
drone/drone-19/img,drone/drone-19/groundtruth.txt,1,1496
drone/drone-20/img,drone/drone-20/groundtruth.txt,1,2318
drone/drone-3/img,drone/drone-3/groundtruth.txt,1,3576
drone/drone-4/img,drone/drone-4/groundtruth.txt,1,1869
drone/drone-5/img,drone/drone-5/groundtruth.txt,1,3332
drone/drone-6/img,drone/drone-6/groundtruth.txt,1,1119
drone/drone-8/img,drone/drone-8/groundtruth.txt,1,2190
drone/drone-9/img,drone/drone-9/groundtruth.txt,1,2504
electricfan/electricfan-11/img,electricfan/electricfan-11/groundtruth.txt,1,1758
electricfan/electricfan-12/img,electricfan/electricfan-12/groundtruth.txt,1,1694
electricfan/electricfan-13/img,electricfan/electricfan-13/groundtruth.txt,1,2411
electricfan/electricfan-14/img,electricfan/electricfan-14/groundtruth.txt,1,2026
electricfan/electricfan-15/img,electricfan/electricfan-15/groundtruth.txt,1,2808
electricfan/electricfan-16/img,electricfan/electricfan-16/groundtruth.txt,1,3277
electricfan/electricfan-17/img,electricfan/electricfan-17/groundtruth.txt,1,2426
electricfan/electricfan-19/img,electricfan/electricfan-19/groundtruth.txt,1,1283
electricfan/electricfan-2/img,electricfan/electricfan-2/groundtruth.txt,1,1984
electricfan/electricfan-3/img,electricfan/electricfan-3/groundtruth.txt,1,1171
electricfan/electricfan-4/img,electricfan/electricfan-4/groundtruth.txt,1,1477
electricfan/electricfan-5/img,electricfan/electricfan-5/groundtruth.txt,1,1999
electricfan/electricfan-6/img,electricfan/electricfan-6/groundtruth.txt,1,2537
electricfan/electricfan-7/img,electricfan/electricfan-7/groundtruth.txt,1,2233
electricfan/electricfan-8/img,electricfan/electricfan-8/groundtruth.txt,1,1526
electricfan/electricfan-9/img,electricfan/electricfan-9/groundtruth.txt,1,1388
elephant/elephant-10/img,elephant/elephant-10/groundtruth.txt,1,1840
elephant/elephant-11/img,elephant/elephant-11/groundtruth.txt,1,1830
elephant/elephant-13/img,elephant/elephant-13/groundtruth.txt,1,1717
elephant/elephant-14/img,elephant/elephant-14/groundtruth.txt,1,3700
elephant/elephant-15/img,elephant/elephant-15/groundtruth.txt,1,1190
elephant/elephant-17/img,elephant/elephant-17/groundtruth.txt,1,2279
elephant/elephant-19/img,elephant/elephant-19/groundtruth.txt,1,2041
elephant/elephant-2/img,elephant/elephant-2/groundtruth.txt,1,1796
elephant/elephant-20/img,elephant/elephant-20/groundtruth.txt,1,2495
elephant/elephant-3/img,elephant/elephant-3/groundtruth.txt,1,4334
elephant/elephant-4/img,elephant/elephant-4/groundtruth.txt,1,1960
elephant/elephant-5/img,elephant/elephant-5/groundtruth.txt,1,2596
elephant/elephant-6/img,elephant/elephant-6/groundtruth.txt,1,1436
elephant/elephant-7/img,elephant/elephant-7/groundtruth.txt,1,1609
elephant/elephant-8/img,elephant/elephant-8/groundtruth.txt,1,2010
elephant/elephant-9/img,elephant/elephant-9/groundtruth.txt,1,2487
flag/flag-1/img,flag/flag-1/groundtruth.txt,1,1944
flag/flag-10/img,flag/flag-10/groundtruth.txt,1,1269
flag/flag-11/img,flag/flag-11/groundtruth.txt,1,1117
flag/flag-12/img,flag/flag-12/groundtruth.txt,1,2923
flag/flag-13/img,flag/flag-13/groundtruth.txt,1,5312
flag/flag-14/img,flag/flag-14/groundtruth.txt,1,1155
flag/flag-15/img,flag/flag-15/groundtruth.txt,1,1217
flag/flag-16/img,flag/flag-16/groundtruth.txt,1,2498
flag/flag-17/img,flag/flag-17/groundtruth.txt,1,2791
flag/flag-18/img,flag/flag-18/groundtruth.txt,1,2920
flag/flag-19/img,flag/flag-19/groundtruth.txt,1,2299
flag/flag-20/img,flag/flag-20/groundtruth.txt,1,1286
flag/flag-4/img,flag/flag-4/groundtruth.txt,1,1776
flag/flag-6/img,flag/flag-6/groundtruth.txt,1,1151
flag/flag-7/img,flag/flag-7/groundtruth.txt,1,1465
flag/flag-8/img,flag/flag-8/groundtruth.txt,1,1937
fox/fox-1/img,fox/fox-1/groundtruth.txt,1,1251
fox/fox-10/img,fox/fox-10/groundtruth.txt,1,1666
fox/fox-11/img,fox/fox-11/groundtruth.txt,1,5553
fox/fox-12/img,fox/fox-12/groundtruth.txt,1,2077
fox/fox-13/img,fox/fox-13/groundtruth.txt,1,1127
fox/fox-14/img,fox/fox-14/groundtruth.txt,1,4574
fox/fox-15/img,fox/fox-15/groundtruth.txt,1,2316
fox/fox-16/img,fox/fox-16/groundtruth.txt,1,1455
fox/fox-17/img,fox/fox-17/groundtruth.txt,1,1063
fox/fox-18/img,fox/fox-18/groundtruth.txt,1,1503
fox/fox-19/img,fox/fox-19/groundtruth.txt,1,2404
fox/fox-4/img,fox/fox-4/groundtruth.txt,1,1821
fox/fox-6/img,fox/fox-6/groundtruth.txt,1,1500
fox/fox-7/img,fox/fox-7/groundtruth.txt,1,1304
fox/fox-8/img,fox/fox-8/groundtruth.txt,1,1575
fox/fox-9/img,fox/fox-9/groundtruth.txt,1,2140
frog/frog-1/img,frog/frog-1/groundtruth.txt,1,2499
frog/frog-10/img,frog/frog-10/groundtruth.txt,1,1974
frog/frog-11/img,frog/frog-11/groundtruth.txt,1,2470
frog/frog-12/img,frog/frog-12/groundtruth.txt,1,1441
frog/frog-13/img,frog/frog-13/groundtruth.txt,1,1603
frog/frog-14/img,frog/frog-14/groundtruth.txt,1,2994
frog/frog-15/img,frog/frog-15/groundtruth.txt,1,1510
frog/frog-16/img,frog/frog-16/groundtruth.txt,1,2050
frog/frog-17/img,frog/frog-17/groundtruth.txt,1,2752
frog/frog-18/img,frog/frog-18/groundtruth.txt,1,1770
frog/frog-19/img,frog/frog-19/groundtruth.txt,1,1321
frog/frog-2/img,frog/frog-2/groundtruth.txt,1,2445
frog/frog-5/img,frog/frog-5/groundtruth.txt,1,2042
frog/frog-6/img,frog/frog-6/groundtruth.txt,1,1053
frog/frog-7/img,frog/frog-7/groundtruth.txt,1,1504
frog/frog-8/img,frog/frog-8/groundtruth.txt,1,2702
gametarget/gametarget-10/img,gametarget/gametarget-10/groundtruth.txt,1,1183
gametarget/gametarget-11/img,gametarget/gametarget-11/groundtruth.txt,1,1947
gametarget/gametarget-12/img,gametarget/gametarget-12/groundtruth.txt,1,2222
gametarget/gametarget-14/img,gametarget/gametarget-14/groundtruth.txt,1,1821
gametarget/gametarget-15/img,gametarget/gametarget-15/groundtruth.txt,1,2105
gametarget/gametarget-16/img,gametarget/gametarget-16/groundtruth.txt,1,3960
gametarget/gametarget-17/img,gametarget/gametarget-17/groundtruth.txt,1,8000
gametarget/gametarget-18/img,gametarget/gametarget-18/groundtruth.txt,1,1500
gametarget/gametarget-19/img,gametarget/gametarget-19/groundtruth.txt,1,3047
gametarget/gametarget-20/img,gametarget/gametarget-20/groundtruth.txt,1,2601
